Target_ID,baseMean,log2FoldChange,lfcSE,pvalue,padj
TMUE_0000000022.1,132.961618205159,-1.31759875576042,0.324156362628274,9.69298996451907e-06,6.32139488265189e-05
TMUE_0000000045.1,45.9466627459627,-2.41330505613075,0.812508014337801,0.000255718840348451,0.00124152960067304
TMUE_0000000046.1,12782.5921090114,-1.87582471115714,0.31088078166694,1.84471348906911e-10,2.36558247022486e-09
TMUE_0000000053.1,54.6369203669876,-1.33099425182409,0.459850100305514,0.000633509971688381,0.00279915162914012
TMUE_0000000091.1,38.9265775275916,-5.65049513231432,0.873677606726714,1.04324221102396e-11,1.53331674600038e-10
TMUE_0000000118.1,6687.66409412231,-1.10321730158749,0.139631678648004,8.513717940311e-16,1.82742098769816e-14
TMUE_0000000130.1,1338.63775675171,-2.67702640424816,0.261775536279485,1.14478944437241e-25,4.47587481783842e-24
TMUE_0000000145.1,978.714314657064,-1.09634859659105,0.199023247239071,1.05310608018628e-08,1.08088699154421e-07
TMUE_0000000150.2,354.705263265442,-14.1832827201674,3.40287205188664,1.81529245021233e-35,1.07512376190168e-33
TMUE_0000000150.3,36.2789281367251,-9.85247680436651,3.51746496581092,3.44804517529174e-06,2.42576728544172e-05
TMUE_0000000156.1,737.223282689628,-1.01107284867278,0.325021553724895,0.000577018950557579,0.00257309259296326
TMUE_0000000177.1,28.3461243461632,-2.06840313400521,0.574973346456881,3.70685709840694e-05,0.000217927764193475
TMUE_0000000183.1,3677.56361840507,-1.18635580838968,0.20236682007004,1.20679759565981e-09,1.39503834533692e-08
TMUE_0000000226.1,84.9033768291738,-1.16806758063595,0.33061918172042,9.58394961883893e-05,0.000513251635481759
TMUE_0000000235.1,63.6565810512094,-1.21417938703876,0.361557381699863,0.000188729499387134,0.000943411511315929
TMUE_0000000242.1,519.752299724552,-2.51949592769298,0.390719545593848,1.05028488443494e-11,1.542250283471e-10
TMUE_0000000243.1,504.379516686218,-1.55852962143425,0.212141039869586,3.60490163909133e-14,6.75011500125403e-13
TMUE_0000000255.1,1606.7226396876,-1.96525648361353,0.257951723160978,3.00596026610609e-15,6.16260392503877e-14
TMUE_0000000275.1,32.5478182115877,-1.60146378579426,0.515187860233327,0.000275833428009454,0.00132856998412626
TMUE_0000000280.1,170.316788760185,-1.76518651523721,0.3476196434161,5.14575723682919e-08,4.83749582446418e-07
TMUE_0000000320.1,57.5946033017692,-2.30316676449094,0.844874955859096,0.000502123020575367,0.00227334349434334
TMUE_0000000324.1,116.423558689203,-2.57852303543397,0.802958664770195,0.000101956939588031,0.000543283379191002
