Target_ID,baseMean,log2FoldChange,lfcSE,pvalue,padj
TMUE_0000000005.1,32.5383887532841,3.18226365829706,0.72358132327832,7.73032085623784e-07,6.05661738422828e-06
TMUE_0000000014.1,280.600953761897,1.10840414990714,0.355682498596609,0.000461038150677221,0.00210641744785127
TMUE_0000000019.1,7667.82256613886,1.3059018250396,0.159860923629219,3.79538543669795e-17,9.18184697704039e-16
TMUE_0000000029.1,539.104128434615,1.10707069928131,0.1363875540392,1.42603337202026e-16,3.32900724846364e-15
TMUE_0000000070.1,218.646118474053,1.75768242912268,0.739466982297911,0.00150071565702568,0.00601301530230461
TMUE_0000000101.1,21111.7491976423,4.98170628429081,0.260726988016694,2.29474899865609e-82,5.31816394746515e-80
TMUE_0000000103.1,109.052644508529,2.32901218840027,0.777604016290202,0.000166359258730744,0.000844792285285274
TMUE_0000000104.1,6681.71931246545,2.15368509254423,0.321648282655126,2.71996496849603e-12,4.25170672641448e-11
TMUE_0000000125.1,1784.07439034798,1.18752220089612,0.300095362485571,1.82140619557221e-05,0.000113552072021034
TMUE_0000000155.1,2220.18137341808,1.21916866987018,0.272984535583893,2.00282027926165e-06,1.47048205168379e-05
TMUE_0000000256.1,514.519726847177,1.19770610711664,0.218848570171764,1.14092844001536e-08,1.16728001818846e-07
TMUE_0000000269.1,7308.8905587019,1.06400837260468,0.125964423612798,9.95881871622143e-18,2.51980174194774e-16
TMUE_0000000305.1,168.009502082716,1.17538335531476,0.17171685245204,1.86844382481413e-12,3.00284273392993e-11
TMUE_0000000312.1,272.70766145477,1.94081137416972,0.22758836171831,1.94030602174481e-18,5.07813970437337e-17
TMUE_0000000314.1,1221.81799980889,1.3173799203352,0.278040399643197,4.502872295816e-07,3.67000157402618e-06
TMUE_0000000337.1,1996.13517191705,1.43257427830549,0.363846696019263,1.36054573797033e-05,8.69558643147915e-05
TMUE_0000000338.1,456.783080550245,1.13806960198498,0.241473238208159,6.4474427806068e-07,5.1040127477566e-06
TMUE_0000000338.2,9175.86913276144,1.45892491358689,0.140313233281247,4.64777236938313e-26,1.88158298629888e-24
TMUE_0000000347.1,7784.31031005517,1.70160433958744,0.154887645199805,3.78559464504355e-29,1.78570631176671e-27
TMUE_0000000352.1,970.003160698048,1.01870627732883,0.278956980671501,8.37388762337602e-05,0.000454383566289128
TMUE_0000000352.4,187.271706321367,2.20973220121483,0.227518203734421,2.25124429704356e-23,7.80903417657778e-22
TMUE_0000000378.1,554.368424947446,1.31257022035983,0.117299887282696,9.68293871659217e-30,4.6779417829917e-28
TMUE_0000000439.1,1858.54307870059,1.1761242274209,0.206049374372371,2.9154111199451e-09,3.21963668639793e-08
TMUE_0000000458.2,974.797075238708,1.41240634309627,0.144576182414693,2.74811144657073e-23,9.51191561517588e-22
TMUE_0000000468.1,3318.35086779849,1.75703511688618,0.265101407073393,4.76114058366417e-12,7.30666017978634e-11
TMUE_0000000546.1,118.294135062625,1.15597141063248,0.400576386522257,0.000859676487875351,0.00365905954687643
TMUE_0000000556.1,4388.15816561621,1.19530570828694,0.144292215042296,3.11683465113032e-17,7.59775958936356e-16
TMUE_0000000620.1,3525.07340933995,1.35540753624682,0.11101443530455,6.56524448340557e-35,3.79006586765843e-33
TMUE_0000000671.1,4440.42958146618,2.59670775685022,0.210436798992912,4.57015924036201e-36,2.8000542686831e-34
TMUE_0000000674.1,2688.40056445719,1.12886340625952,0.41383560165708,0.00159945791310511,0.0063608384701477
TMUE_0000000696.1,366.998164352143,2.68218096985261,0.189530427992949,1.75429648883279e-46,1.5329483690123e-44
TMUE_0000000708.1,6588.21052084514,1.11231578323666,0.294878463092495,4.37809190750848e-05,0.000252926545133555
